player,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Giorgian De Arrascaeta,MF,Uruguay,28-189,1994,1.2,0,0,0,0,0,0,6,2,1,0,0,0,7,0,4,0.0
Gleison Bremer,DF,Brazil,25-264,1997,1.2,0,0,0,2,0,0,0,1,1,0,0,0,9,5,0,100.0
Gonzalo Montiel,DF,Argentina,25-340,1997,0.8,1,0,0,2,1,1,1,1,1,0,0,0,2,1,1,50.0
Gonzalo Plata,MF,Ecuador,22-036,2000,3.0,0,0,0,4,6,0,17,2,2,0,0,0,10,5,6,45.5
Gonçalo Ramos,FW,Portugal,21-170,2001,0.9,0,0,0,1,2,2,0,0,0,0,0,0,2,4,5,44.4
Granit Xhaka,MF,Switzerland,30-071,1992,4.0,1,0,0,5,4,0,0,2,4,0,0,0,21,7,5,58.3
Gregor Kobel,GK,Switzerland,25-001,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Grzegorz Krychowiak,MF,Poland,32-312,1990,3.7,1,0,0,6,7,0,1,5,4,0,0,0,23,4,3,57.1
Guido Rodríguez,MF,Argentina,28-239,1994,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Guillermo Ochoa,GK,Mexico,37-147,1985,3.0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,
Guillermo Varela,DF,Uruguay,29-258,1993,2.0,0,0,0,3,8,0,7,3,2,0,0,0,8,1,2,33.3
Haji Wright,FW,United States,24-255,1998,1.5,0,0,0,1,3,1,1,0,0,0,0,0,4,6,7,46.2
Hakim Ziyech,FW,Morocco,29-263,1993,4.2,0,0,0,11,5,2,13,5,5,0,0,0,18,2,4,33.3
Hannibal Mejbri,MF,Tunisia,19-320,2003,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Haris Seferović,FW,Switzerland,30-288,1992,0.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Harry Kane,FW,England,29-132,1993,3.5,0,0,0,1,8,0,5,0,1,0,0,0,12,4,12,25.0
Harry Maguire,DF,England,29-277,1993,3.8,0,0,0,5,1,0,1,3,3,0,0,0,14,10,3,76.9
Harry Souttar,DF,Australia,24-046,1998,4.0,0,0,0,1,1,0,0,6,0,0,0,0,17,14,7,66.7
Harry Wilson,MF,Wales,25-260,1997,1.8,0,0,0,1,2,0,9,1,2,0,0,0,10,1,2,33.3
Hassan Al Tambakti,DF,Saudi Arabia,23-301,1999,2.0,1,0,0,2,5,0,0,3,2,0,0,0,9,1,1,50.0
Hassan Al-Haydos,MF,Qatar,31-361,1990,2.3,0,0,0,4,0,1,4,2,1,0,0,0,12,0,2,0.0
Hattan Bahebri,MF,Saudi Arabia,30-144,1992,0.0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,100.0
Henry Martín,FW,Mexico,30-019,1992,1.6,0,0,0,3,3,2,0,2,1,0,0,0,4,3,2,60.0
Hernán Galíndez,GK,Ecuador,35-252,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
Hidemasa Morita,MF,Japan,27-211,1995,3.2,0,0,0,4,1,0,3,3,0,0,0,0,21,5,7,41.7
Hiroki Ito,DF,Japan,23-209,1999,0.5,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,100.0
Hiroki Sakai,MF,Japan,32-239,1990,1.3,0,0,0,3,1,0,2,1,4,0,0,0,6,3,8,27.3
Hirving Lozano,FW,Mexico,27-130,1995,2.8,0,0,0,7,11,2,24,0,2,0,0,0,14,1,10,9.1
Homam Ahmed,DF,Qatar,23-104,1999,2.9,1,0,0,5,8,0,5,2,2,0,0,0,14,5,2,71.4
Hong Chul,DF,Korea Republic,32-081,1990,0.5,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,100.0
Hossein Hosseini,GK,IR Iran,30-160,1992,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
Hossein Kanaanizadegan,DF,IR Iran,28-259,1994,0.5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
Hugo Lloris,GK,France,35-346,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
Hwang Hee-chan,MF,Korea Republic,26-315,1996,1.3,1,0,0,3,3,0,3,0,1,0,0,0,7,0,1,0.0
Hwang In-beom,MF,Korea Republic,26-078,1996,3.7,0,0,0,7,3,0,6,3,3,0,0,0,22,2,5,28.6
Hwang Ui-jo,FW,Korea Republic,30-101,1992,1.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,7.7
Héctor Herrera,MF,Mexico,32-232,1990,1.8,1,0,0,4,1,0,4,3,3,0,0,0,7,6,2,75.0
Héctor Moreno,DF,Mexico,34-324,1988,3.0,1,0,0,3,3,0,0,1,1,0,1,0,14,5,8,38.5
Ibrahima Konaté,DF,France,23-196,1999,2.2,0,0,0,0,4,0,0,2,6,0,0,0,11,4,0,100.0
Idrissa Gana Gueye,MF,Senegal,33-072,1989,3.0,2,0,0,4,1,0,15,5,1,0,0,0,15,2,3,40.0
Iliman Ndiaye,FW,Senegal,22-276,2000,1.5,0,0,0,0,1,0,2,1,0,0,0,0,4,0,3,0.0
Ismail Jakobs,DF,Senegal,23-112,1999,3.1,1,0,0,3,6,0,18,4,0,0,0,0,9,8,3,72.7
Ismail Mohamad,FW,Qatar,32-246,1990,1.9,1,0,0,1,6,1,8,2,2,,,0,,,,
Ismaila Sarr,FW,Senegal,24-285,1998,3.8,0,0,0,3,17,3,8,2,2,1,0,0,17,8,8,50.0
Ismaël Koné,MF,Canada,20-184,2002,1.2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,
Issam Jebali,FW,Tunisia,30-347,1991,2.0,0,0,0,10,2,1,2,0,3,0,0,0,8,2,15,11.8
Ivan Ilić,MF,Serbia,21-265,2001,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,100.0
Ivan Perišić,FW,Croatia,33-308,1989,4.1,0,0,0,7,0,2,12,4,1,0,0,0,17,9,9,50.0
Iñaki Williams,FW,Ghana,28-175,1994,3.0,0,0,0,4,3,1,1,0,2,0,0,0,9,1,3,25.0
Jack Grealish,FW,England,27-088,1995,0.9,0,0,0,0,10,0,0,3,1,0,0,0,6,0,1,0.0
Jackson Irvine,MF,Australia,29-275,1993,3.9,2,0,0,7,2,0,2,3,2,0,0,0,11,9,7,56.3
Jackson Porozo,DF,Ecuador,22-125,2000,1.1,0,0,0,1,2,1,0,3,2,0,0,0,2,1,0,100.0
Jakub Kamiński,MF,Poland,20-185,2002,2.6,0,0,0,5,2,0,4,0,1,0,0,0,17,0,5,0.0
Jakub Kiwior,DF,Poland,22-295,2000,3.9,1,0,0,1,0,0,0,4,1,0,0,0,11,3,4,42.9
Jamal Musiala,MF,Germany,19-284,2003,2.9,0,0,0,1,6,1,1,1,1,0,0,0,19,1,2,33.3
Jamie Maclaren,FW,Australia,29-131,1993,0.6,0,0,0,1,0,0,2,1,0,0,0,0,1,1,4,20.0
Jan Bednarek,DF,Poland,26-239,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Jan Vertonghen,DF,Belgium,35-227,1987,3.0,0,0,0,0,6,0,0,5,0,0,0,0,15,11,5,68.8
Jason Cummings,FW,Australia,27-128,1995,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Jawad El Yamiq,DF,Morocco,30-281,1992,0.7,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,100.0
Jean-Charles Castelletto,DF,Cameroon,27-315,1995,2.0,0,0,0,1,1,0,3,6,3,0,0,0,9,3,1,75.0
Jeong Woo-yeong,MF,Korea Republic,23-078,1999,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Jeremy Doku,MF,Belgium,20-194,2002,0.2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0.0
Jeremy Sarmiento,MF,Ecuador,20-174,2002,0.9,0,0,0,2,2,1,5,1,1,0,0,0,6,2,1,66.7
Jerome Ngom Mbekeli,MF,Cameroon,24-068,1998,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,100.0
Jesper Lindstrøm,MF,Denmark,22-281,2000,2.2,0,0,0,4,2,0,3,1,1,0,0,0,8,1,1,50.0
Jesús Ferreira,FW,United States,21-348,2000,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Jesús Gallardo,DF,Mexico,28-114,1994,3.0,0,0,0,4,1,0,9,1,5,0,0,0,14,1,0,100.0
Jewison Bennette,MF,Costa Rica,18-175,2004,1.1,0,0,0,0,2,2,2,0,0,0,0,0,4,0,2,0.0
Jhegson Méndez,MF,Ecuador,25-225,1997,2.0,2,0,0,3,2,0,2,1,2,0,0,0,16,2,2,50.0
Joachim Andersen,DF,Denmark,26-190,1996,3.0,0,0,0,3,4,0,1,0,2,0,0,0,15,10,8,55.6
Joakim Mæhle,DF,Denmark,25-201,1997,2.8,0,0,0,1,4,0,4,2,5,0,0,0,10,1,9,10.0
Joe Allen,MF,Wales,32-268,1990,1.0,0,0,0,0,2,0,0,1,1,0,0,0,9,0,1,0.0
Joe Morrell,MF,Wales,25-338,1997,0.4,0,0,0,1,1,0,0,1,2,0,0,0,4,0,1,0.0
Joe Rodon,DF,Wales,25-046,1997,3.0,1,0,0,3,0,0,0,4,2,0,0,0,10,5,6,45.5
Joel Campbell,FW,Costa Rica,30-164,1992,3.0,1,0,0,3,11,3,7,0,5,0,0,0,14,5,6,45.5
Johan Venegas,FW,Costa Rica,34-010,1988,0.8,0,0,0,1,1,2,1,0,0,0,0,0,1,0,2,0.0
John Stones,DF,England,28-193,1994,3.8,0,0,0,4,2,0,0,1,1,0,1,0,14,5,3,62.5
Jonas Hofmann,FW,Germany,30-146,1992,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Jonathan David,FW,Canada,22-327,2000,2.1,0,0,0,0,1,0,0,0,1,0,0,0,5,1,2,33.3
Jonathan Osorio,MF,Canada,30-178,1992,1.3,1,0,0,1,2,0,0,1,1,0,0,0,5,0,1,0.0
Jordan Ayew,FW,Ghana,31-087,1991,1.5,0,0,0,2,5,0,8,1,3,0,0,0,8,0,5,0.0
Jordan Henderson,MF,England,32-173,1990,2.1,0,0,0,2,4,0,7,0,2,0,0,0,10,2,1,66.7
Jordan Morris,FW,United States,28-042,1994,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0
Jordan Pickford,GK,England,28-275,1994,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Jordan Veretout,MF,France,29-281,1993,0.7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0.0
Jordi Alba,DF,Spain,33-261,1989,2.9,0,0,0,4,3,1,14,3,4,1,0,0,20,0,2,0.0
Jorge Eduardo Sánchez,DF,Mexico,24-362,1997,1.9,1,0,0,5,1,2,2,3,0,0,0,0,6,3,2,60.0
Josh Sargent,FW,United States,22-290,2000,1.7,0,0,0,2,0,0,1,1,0,0,0,0,1,3,6,33.3
Joshua Kimmich,MF,Germany,27-302,1995,3.0,1,0,0,2,2,0,21,3,2,0,0,0,19,4,1,80.0
Josip Juranović,DF,Croatia,27-113,1995,4.3,0,0,0,0,5,0,16,2,3,0,0,0,29,2,3,40.0
José Cifuentes,MF,Ecuador,23-270,1999,0.7,0,0,0,3,0,0,2,0,2,0,0,0,3,0,0,
José María Giménez,DF,Uruguay,27-321,1995,3.0,1,0,0,4,3,1,2,7,1,0,1,0,13,8,3,72.7
João Cancelo,DF,Portugal,28-194,1994,3.0,0,0,0,2,4,1,10,2,3,0,0,0,21,9,0,100.0
João Félix,FW,Portugal,23-027,1999,2.7,1,0,0,7,7,0,3,1,2,0,0,0,6,1,1,50.0
João Mário,FW,Portugal,29-322,1993,0.9,0,0,0,0,0,0,2,0,1,0,0,0,5,0,2,0.0
João Palhinha,MF,Portugal,27-151,1995,0.4,0,0,0,2,0,0,0,1,1,0,0,0,5,0,3,0.0
Joško Gvardiol,DF,Croatia,20-318,2002,4.3,0,0,0,4,4,0,1,7,3,0,0,0,30,2,3,40.0
Juan Pablo Vargas,DF,Costa Rica,27-184,1995,1.0,0,0,0,0,0,0,0,2,3,0,0,0,5,1,0,100.0
Jude Bellingham,MF,England,19-161,2003,3.6,0,0,0,3,5,0,3,4,11,0,0,0,23,4,5,44.4
Jules Koundé,DF,France,24-025,1998,2.0,1,0,0,1,0,0,1,2,3,0,0,0,11,2,3,40.0
Julián Álvarez,FW,Argentina,22-310,2000,2.3,0,0,0,3,1,2,3,0,1,0,0,0,10,2,4,33.3
Jung Woo-young,MF,Korea Republic,32-358,1989,3.4,2,0,0,11,0,0,1,3,4,0,1,0,24,6,2,75.0
Junior Hoilett,FW,Canada,32-185,1990,1.8,1,0,0,1,5,1,13,1,4,0,0,0,8,0,0,
Junya Ito,MF,Japan,29-273,1993,3.6,0,0,0,0,5,1,14,5,4,0,0,0,17,3,6,33.3
Jurriën Timber,DF,Netherlands,21-173,2001,3.0,0,0,0,12,4,0,0,7,5,0,0,0,22,3,2,60.0
Kai Havertz,FW,Germany,23-179,1999,1.1,0,0,0,3,0,3,2,1,1,0,0,0,3,0,2,0.0
Kalidou Koulibaly,DF,Senegal,31-170,1991,4.0,1,0,0,3,3,0,0,2,9,0,0,0,28,11,5,68.8
Kalvin Phillips,MF,England,27-005,1995,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
Kamal Miller,DF,Canada,25-205,1997,3.0,1,0,0,0,3,0,0,4,4,0,0,0,14,7,5,58.3
Kamaldeen Sulemana,FW,Ghana,20-295,2002,0.6,1,0,0,2,2,0,4,0,0,0,0,0,0,2,1,66.7
Kamil Glik,DF,Poland,34-307,1988,4.0,0,0,0,2,0,0,0,3,1,0,0,0,11,4,3,57.1
Kamil Grosicki,MF,Poland,34-182,1988,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Kaoru Mitoma,MF,Japan,25-201,1997,1.8,0,0,0,3,1,0,0,2,2,0,0,0,17,2,3,40.0
Karim Ansarifard,FW,IR Iran,32-248,1990,0.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0
Karim Boudiaf,MF,Qatar,32-082,1990,2.1,1,0,0,2,1,0,0,0,1,0,0,0,12,6,7,46.2
Karl Toko Ekambi,FW,Cameroon,30-084,1992,1.8,0,0,0,0,3,0,3,2,1,0,0,0,8,1,4,20.0
Karol Świderski,FW,Poland,25-318,1997,0.5,0,0,0,0,1,0,0,2,1,0,0,0,3,1,1,50.0
Kasper Dolberg,FW,Denmark,25-062,1997,1.3,0,0,0,2,2,1,1,0,1,0,0,0,3,0,1,0.0
Kasper Schmeichel,GK,Denmark,36-032,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0
Keanu Baccus,MF,Australia,24-183,1998,1.3,0,0,0,4,1,0,0,2,1,0,0,0,11,1,3,25.0
Kellyn Acosta,MF,United States,27-136,1995,0.5,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,100.0
Kendall Waston,DF,Costa Rica,34-340,1988,2.5,0,0,0,1,0,0,0,5,4,0,0,0,10,4,3,57.1
Kenneth Taylor,MF,Netherlands,20-205,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kevin De Bruyne,FW,Belgium,31-162,1991,3.0,0,0,0,0,2,0,18,0,1,0,0,0,11,4,0,100.0
Kevin Rodríguez,FW,Ecuador,22-278,2000,0.0,0,0,0,1,0,0,0,0,0,,,0,,,,
Kevin Álvarez,DF,Mexico,23-326,1999,0.8,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0.0
Keylor Navas,GK,Costa Rica,35-357,1986,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Keysher Fuller,DF,Costa Rica,28-149,1994,2.8,0,0,0,2,4,2,2,3,4,0,0,0,11,0,1,0.0
Kieffer Moore,FW,Wales,30-121,1992,2.5,0,0,0,5,4,1,0,2,0,0,0,0,7,11,6,64.7
Kieran Trippier,DF,England,32-079,1990,2.3,0,0,0,1,0,0,10,1,4,0,0,0,11,4,1,80.0
Kim Jin-su,DF,Korea Republic,30-177,1992,3.5,0,0,0,1,6,1,16,3,5,0,0,0,12,10,4,71.4
Kim Min-jae,DF,Korea Republic,26-022,1996,3.0,0,0,0,0,0,0,1,2,1,0,0,0,14,10,1,90.9
Kim Moonhwan,DF,Korea Republic,27-128,1995,4.0,0,0,0,1,0,0,15,4,4,0,0,0,16,6,3,66.7
Kim Seung-gyu,GK,Korea Republic,32-068,1990,4.0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0.0
Kim Young-gwon,DF,Korea Republic,32-283,1990,3.9,1,0,0,1,2,0,1,3,2,0,0,0,13,6,2,75.0
Kingsley Coman,FW,France,26-177,1996,1.2,0,0,0,0,1,0,6,2,0,0,0,0,4,1,3,25.0
Ko Itakura,DF,Japan,25-314,1997,3.0,2,0,0,5,0,0,0,4,5,0,0,0,13,0,2,0.0
Koke,MF,Spain,30-333,1992,0.6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
Krystian Bielik,MF,Poland,24-337,1998,2.4,0,0,0,5,4,0,0,5,3,0,1,0,10,6,4,60.0
Krzysztof Piątek,FW,Poland,27-159,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,6,25.0
Krépin Diatta,FW,Senegal,23-285,1999,2.0,0,0,0,4,2,2,4,0,0,0,0,0,11,2,1,66.7
Kudus Mohammed,FW,Ghana,22-127,2000,2.7,1,0,0,3,5,1,6,1,4,1,0,0,22,0,4,0.0
Kwon Chang-hoon,FW,Korea Republic,28-160,1994,0.6,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0.0
Kwon Kyung-won,DF,Korea Republic,30-310,1992,1.0,0,0,0,0,3,0,0,2,0,0,0,0,2,2,2,50.0
Kye Rowles,DF,Australia,24-166,1998,4.0,0,0,0,1,2,0,0,7,2,0,0,0,12,4,2,66.7
Kyle Walker,DF,England,32-193,1990,1.6,0,0,0,3,1,0,2,2,0,0,0,0,4,4,2,66.7
Kylian Mbappé,FW,France,23-352,1998,3.3,0,0,0,2,5,1,21,0,0,0,0,0,6,1,2,33.3
Lautaro Martínez,FW,Argentina,25-107,1997,2.0,0,0,0,1,3,4,0,1,0,0,0,0,9,5,4,55.6
Lawrence Ati-Zigi,GK,Ghana,26-008,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Leander Dendoncker,DF,Belgium,27-236,1995,1.8,1,0,0,3,0,0,0,0,3,0,0,0,6,2,1,66.7
Leandro Paredes,MF,Argentina,28-161,1994,1.0,0,0,0,2,2,0,0,2,1,1,0,0,7,3,0,100.0
Leandro Trossard,FW,Belgium,28-003,1994,1.1,0,0,0,0,2,0,2,0,1,0,0,0,7,0,0,
Lee Jae-sung,MF,Korea Republic,30-119,1992,2.3,0,0,0,2,1,0,1,3,2,0,0,0,7,3,4,42.9
Lee Kangin,MF,Korea Republic,21-291,2001,1.6,1,0,0,2,4,0,12,0,3,0,0,0,6,0,1,0.0
Leon Goretzka,MF,Germany,27-304,1995,1.8,1,0,0,4,3,0,1,1,3,0,0,0,12,3,2,60.0
Leroy Sané,FW,Germany,26-330,1996,1.2,0,0,0,0,0,0,2,0,1,0,0,0,6,1,1,50.0
Liam Millar,DF,Canada,23-071,1999,0.1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,
Lionel Messi,FW,Argentina,35-166,1987,4.0,0,0,0,4,11,2,10,0,2,1,0,0,9,1,3,25.0
Lisandro Martínez,DF,Argentina,24-323,1998,1.8,0,0,0,2,1,0,1,1,0,0,0,0,3,3,2,60.0
Lovro Majer,MF,Croatia,24-324,1998,0.4,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,
Loïs Openda,FW,Belgium,22-294,2000,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0
Lucas Cavallini,FW,Canada,29-344,1992,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0
Lucas Hernández,DF,France,26-296,1996,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Lucas Paquetá,MF,Brazil,25-102,1997,2.3,0,0,0,1,1,0,3,0,4,0,0,0,10,3,1,75.0
Luis Chávez,MF,Mexico,26-326,1996,3.0,0,0,0,3,8,0,19,1,0,0,0,0,15,5,5,50.0
Luis Suárez,FW,Uruguay,35-317,1987,1.6,1,0,0,0,6,1,0,0,0,0,0,0,3,2,4,33.3
Luka Jović,FW,Serbia,24-349,1997,0.4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,3,25.0
Luka Modrić,MF,Croatia,37-089,1985,4.0,1,0,0,9,6,1,22,7,5,0,0,0,32,1,3,25.0
Lukas Klostermann,DF,Germany,26-187,1996,0.7,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,
Luke Shaw,DF,England,27-148,1995,3.7,0,0,0,5,4,0,16,4,1,0,0,0,18,2,5,28.6
Majid Hosseini,DF,IR Iran,26-170,1996,3.0,1,0,0,4,1,1,0,6,4,0,0,0,22,6,4,60.0
Manuel Akanji,DF,Switzerland,27-141,1995,4.0,1,0,0,4,1,0,1,3,2,0,0,0,18,9,2,81.8
Manuel Neuer,GK,Germany,36-255,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Marcelo Brozović,MF,Croatia,30-021,1992,4.3,0,0,0,7,5,0,2,0,3,0,0,0,27,5,4,55.6
Marco Asensio,FW,Spain,26-320,1996,2.5,0,0,0,3,3,0,8,0,1,0,0,0,3,0,2,0.0
Marcos Acuña,DF,Argentina,31-040,1991,2.7,1,0,0,6,5,0,11,1,3,0,0,0,9,3,4,42.9
Marcos Llorente,DF,Spain,27-311,1995,1.3,0,0,0,0,0,0,2,0,0,0,0,0,9,0,1,0.0
Marcus Rashford,FW,England,25-037,1997,1.5,0,0,0,1,0,1,1,1,0,0,0,0,8,1,3,25.0
Marcus Thuram,FW,France,25-123,1997,0.5,0,0,0,0,2,0,0,0,0,0,0,0,3,1,5,16.7
Mario Götze,MF,Germany,30-187,1992,0.4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,
Mario Pašalić,FW,Croatia,27-301,1995,1.4,0,0,0,1,1,1,0,1,2,0,0,0,11,4,6,40.0
Mark-Anthony Kaye,MF,Canada,28-005,1994,0.7,0,0,0,1,1,0,0,0,1,0,0,0,4,0,1,0.0
Marko Grujić,MF,Serbia,26-238,1996,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0
Marko Livaja,FW,Croatia,29-103,1993,1.7,0,0,0,4,2,1,1,0,1,0,0,0,5,3,4,42.9
Marquinhos,DF,Brazil,28-207,1994,3.4,0,0,0,0,0,0,1,1,4,0,0,0,23,3,2,60.0
Marten de Roon,MF,Netherlands,31-253,1991,1.5,0,0,0,1,0,0,0,2,4,0,0,0,7,3,1,75.0
Martin Braithwaite,FW,Denmark,31-185,1991,1.1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,25.0
Martin Hongla,MF,Cameroon,24-266,1998,1.3,0,0,0,1,1,1,1,2,0,0,0,0,3,1,0,100.0
Martinelli,FW,Brazil,21-172,2001,1.3,0,0,0,2,3,1,5,0,1,0,0,0,5,0,2,0.0
Martín Cáceres,DF,Uruguay,35-244,1987,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,100.0
Mason Mount,MF,England,23-331,1999,1.9,0,0,0,6,7,0,3,0,2,0,0,0,7,0,1,0.0
Mateo Kovačić,MF,Croatia,28-215,1994,3.9,1,0,0,1,6,0,3,3,9,0,0,0,24,4,1,80.0
Matheus Nunes,MF,Portugal,24-102,1998,0.8,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,
Mathew Leckie,MF,Australia,31-306,1991,3.7,0,0,0,8,6,0,4,1,4,0,0,0,15,14,10,58.3
Mathew Ryan,GK,Australia,30-243,1992,4.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
Mathias Jensen,MF,Denmark,26-340,1996,0.9,1,0,0,2,1,0,2,0,0,0,0,0,5,1,0,100.0
Mathías Olivera,DF,Uruguay,25-037,1997,2.8,1,0,0,2,3,0,6,2,5,0,0,0,15,6,4,60.0
Matt Turner,GK,United States,28-166,1994,4.0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,
Matthias Ginter,DF,Germany,28-322,1994,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Matthijs de Ligt,DF,Netherlands,23-117,1999,1.0,1,0,0,4,1,0,0,0,0,0,0,0,3,5,2,71.4
Matty Cash,DF,Poland,25-122,1997,4.0,2,0,0,7,3,0,9,0,3,0,0,0,10,2,1,66.7
Mattéo Guendouzi,FW,France,23-237,1999,0.9,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,100.0
Matías Vecino,MF,Uruguay,31-105,1991,2.2,0,0,0,4,0,0,1,4,3,0,0,0,18,3,3,50.0
Matías Viña,DF,Uruguay,25-028,1997,0.2,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,
Maxi Gómez,FW,Uruguay,26-115,1996,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,100.0
Maya Yoshida,DF,Japan,34-105,1988,4.3,1,0,0,3,4,0,0,3,4,0,0,0,30,10,7,58.8
Mehdi Taremi,FW,IR Iran,30-142,1992,3.0,0,0,0,5,4,1,0,2,3,0,0,0,13,5,7,41.7
Mehdi Torabi,MF,IR Iran,28-088,1994,0.7,0,0,0,0,0,0,1,2,0,0,0,0,6,0,1,0.0
Memphis,FW,Netherlands,28-297,1994,2.4,0,0,0,1,3,1,1,0,1,0,0,0,8,1,5,16.7
Meshaal Barsham,GK,Qatar,24-296,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Michael Estrada,FW,Ecuador,26-244,1996,2.5,0,0,0,6,7,2,0,0,0,0,0,0,5,13,14,48.1
Michał Skóraś,MF,Poland,22-295,2000,0.5,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,100.0
Michel Aebischer,MF,Switzerland,25-335,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Michy Batshuayi,FW,Belgium,29-066,1993,1.7,0,0,0,5,1,2,0,0,0,0,0,0,4,1,2,33.3
Miki Yamane,DF,Japan,28-350,1993,0.7,1,0,0,2,1,0,2,2,0,0,0,0,5,0,1,0.0
Mikkel Damsgaard,MF,Denmark,22-157,2000,1.7,0,0,0,2,1,1,3,2,2,0,0,0,10,0,1,0.0
Milad Mohammadi,DF,IR Iran,29-069,1993,2.2,0,0,0,2,1,0,2,1,3,0,0,0,11,3,3,50.0
Milan Borjan,GK,Canada,35-045,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Miloš Degenek,DF,Australia,28-223,1994,2.0,2,0,0,2,8,0,1,1,4,0,0,0,15,6,1,85.7
Miloš Veljković,DF,Serbia,27-072,1995,2.5,0,0,0,1,0,0,0,0,1,0,0,0,12,2,1,66.7
Mislav Oršić,FW,Croatia,29-343,1992,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Mitchell Duke,FW,Australia,31-323,1991,3.0,1,0,0,6,3,1,1,2,0,0,0,0,11,11,12,47.8
Mohamed Ali Ben Romdhane,MF,Tunisia,23-092,1999,0.8,0,0,0,1,1,0,1,0,4,0,0,0,10,1,0,100.0
Mohamed Dräger,DF,Tunisia,26-165,1996,1.5,0,0,0,2,1,0,3,1,3,0,0,0,2,1,1,50.0
